Date,Open,High,Low,Close,Adj Close,Volume
2004/5/21,99.949997,100.529999,99.550003,99.800003,65.071144,6336900
2004/5/24,100.419998,100.629997,99.419998,99.860001,65.110237,6829100
2004/5/25,99.580002,101.349998,99.260002,101.269997,66.029564,9302200
2004/5/26,101,101.449997,100.860001,101.349998,66.081711,6353700
2004/5/27,101.699997,102.370003,101.68,102.300003,66.701164,5972800
2004/5/28,102.209999,102.300003,101.839996,102.18,66.622902,4535500
2004/6/1,101.910004,102.269997,101.459999,102.160004,66.609871,5099400
2004/6/2,102.400002,103.059998,102.089996,102.839996,67.053253,5817300
2004/6/3,102.489998,102.989998,101.970001,102.129997,66.590363,7500200
2004/6/4,102.760002,103.199997,102.410004,102.660004,66.93589,4636700
2004/6/7,103.169998,104.089996,103.120003,103.980003,67.796562,5772300
2004/6/8,103.730003,104.489998,103.669998,104.470001,68.116005,5393400
2004/6/9,104.099998,104.400002,103.769997,103.949997,67.77697,5151600
2004/6/10,104.099998,104.25,103.940002,104.25,67.972626,3496100
2004/6/14,103.970001,103.970001,103.300003,103.599998,67.548775,4341700
2004/6/15,104.230003,104.510002,103.650002,104.110001,67.881332,7290000
2004/6/16,104.129997,104.150002,103.760002,103.989998,67.803062,3838200
2004/6/17,103.849998,104.129997,103.589996,103.949997,67.77697,2779500
2004/6/18,103.849998,104.529999,103.760002,104.220001,68.015198,3919400
2004/6/21,104.25,104.550003,103.75,103.809998,67.747581,4152200
2004/6/22,103.75,104.209999,103.169998,104.169998,67.982597,4098600
2004/6/23,103.970001,105.029999,103.730003,104.93,68.478561,4784400
2004/6/24,104.779999,105.050003,104.470001,104.610001,68.269737,4658200
2004/6/25,104.540001,104.989998,103.919998,104.050003,67.904251,3581100
2004/6/28,104.57,104.790001,103.5,103.620003,67.623642,6769100
2004/6/29,103.699997,104.449997,103.57,104.300003,68.067421,5171000
2004/6/30,104.300003,104.889999,103.889999,104.629997,68.282753,6940800
2004/7/1,104.480003,104.650002,102.940002,103.260002,67.388695,10590600
2004/7/2,103.389999,103.489998,102.800003,103.029999,67.238586,4276300
2004/7/6,102.709999,102.910004,102.059998,102.339996,66.788261,6318600
2004/7/7,102.220001,102.919998,102.220001,102.599998,66.957962,5597800
2004/7/8,102.360001,102.900002,101.860001,102.07,66.612091,8076400
2004/7/9,102.32,102.620003,102.099998,102.370003,66.807907,3660200
2004/7/12,102.300003,102.790001,101.800003,102.57,66.9384,5886500
2004/7/13,102.75,102.800003,102.370003,102.57,66.9384,3267000
2004/7/14,102.139999,103.089996,101.919998,102.279999,66.749146,7294700
2004/7/15,102.480003,102.540001,101.57,101.610001,66.311913,4528300
2004/7/16,102.43,102.489998,101.459999,101.699997,66.426201,5944900
2004/7/19,101.610001,101.690002,100.779999,100.949997,65.936333,9645400
2004/7/20,101.169998,102.150002,100.860001,101.900002,66.556786,5270600
2004/7/21,102.150002,102.550003,100.360001,100.400002,65.577095,9341600
2004/7/22,100.169998,100.970001,99.629997,100.519997,65.655495,11667800
2004/7/23,100.32,100.330002,99.5,99.82,65.19825,6837100
2004/7/26,100.07,100.25,99.309998,99.779999,65.172112,8701800
2004/7/27,100.050003,101.209999,99.980003,100.949997,65.936333,7015800
2004/7/28,100.790001,101.690002,100.07,101.379997,66.217171,9645100
2004/7/29,101.730003,101.889999,101.050003,101.540001,66.321686,7651300
2004/7/30,101.400002,101.800003,101.059998,101.75,66.458809,3943800
2004/8/2,101.279999,102.230003,101.160004,101.940002,66.582954,6024000
2004/8/3,101.779999,101.940002,101.160004,101.25,66.132324,5626400
2004/8/4,100.959999,101.879997,100.870003,101.400002,66.230225,5963500
2004/8/5,101.5,101.5,99.650002,99.720001,65.132912,8179900
2004/8/6,99.110001,99.379997,98.150002,98.370003,64.251183,9082800
2004/8/9,98.43,98.839996,98.309998,98.419998,64.283836,5095100
2004/8/10,98.620003,99.720001,98.370003,99.57,65.034927,7344300
2004/8/11,99.18,99.860001,98.720001,99.709999,65.126381,6687400
2004/8/12,99.279999,99.480003,98.32,98.580002,64.388306,6939400
2004/8/13,98.699997,98.900002,98.169998,98.699997,64.466728,4192700
2004/8/16,98.669998,100.029999,98.660004,99.800003,65.185181,5697000
2004/8/17,100.199997,100.589996,99.860001,100.25,65.479126,5946900
2004/8/18,99.82,101.300003,99.769997,101.220001,66.11261,6069000
2004/8/19,101.010002,101.18,100.32,100.849998,65.870972,5510900
2004/8/20,100.389999,101.440002,100.309998,101.25,66.326248,5462800
2004/8/23,101.269997,101.449997,100.809998,100.900002,66.097,4521700
